,business_categories,business_city,business_full_address,business_id,business_latitude,business_longitude,business_name,business_neighborhoods,business_open,business_review_count,business_stars,business_state,business_type
48,Food; Grocery,Glendale,"4315 W Bell Road
Glendale, AZ 85308",BF0XhsT8mEv6gpxru_8Syg,33.6378053,-112.1528218,Fry's & Fry's Marketplace,,True,3,4.5,AZ,business
49,Cheesesteaks; Sandwiches; Restaurants,Tempe,"8707 S Priest Dr
Ste 101
Tempe, AZ 85284",RtwOc-n_RkiUuDGaNfCsNw,33.3351559,-111.9631173,Forefathers Gourmet Cheesesteaks & Fries,,True,106,4.0,AZ,business
50,Shopping; Home Services; Home & Garden; Lighting Fixtures & Equipment; Furniture Stores; Home Decor,Phoenix,"201 E Camelback Rd
Phoenix, AZ 85012",xWcTt1L4vQC_QkPfPBVlCw,33.5090487,-112.0709232,Red Modern Furniture,,True,20,3.5,AZ,business
51,Food; Grocery,Phoenix,"1702 W Camelback Rd
Phoenix, AZ 85015",ldsiFlvSxBhuZHZxvzWPYw,33.5097112,-112.0962274,Loi Phat Oriental Food Grocery Store,,True,4,4.0,AZ,business
52,"Used, Vintage & Consignment; Fashion; Shopping; Home & Garden; Furniture Stores",Phoenix,"2027 E Camelback Rd
Phoenix, AZ 85016",dLBqf9QayF9eSUzz6BvmSQ,33.5092825,-112.0372641,My Sister's Attic,,True,6,3.0,AZ,business
53,Veterinarians; Pets,Mesa,"4331 E Broadway Road
Mesa, AZ 85206",LSxO2ko3_5KODWKZLEm8FQ,33.4081936,-111.7371543,Tri-City East Veterinary Hospital,,True,5,3.0,AZ,business
54,Women's Clothing; Fashion; Shopping; Accessories,Phoenix,"3135 E Lincoln Dr
Phoenix, AZ 85016",Y1eMoHPnhwoOcYsKxGl74g,33.5307752,-112.0148644,Loehmann's Inc,,False,8,4.5,AZ,business
55,Fast Food; Sandwiches; Restaurants,Phoenix,"144 N Central Ave
Phoenix, AZ 85004",0YCV8260mMgN0PxuzAtO3g,33.4503008,-112.0740911,Subway,,True,3,2.5,AZ,business
56,Gyms; Weight Loss Centers; Health & Medical; Trainers; Fitness & Instruction; Active Life,Chandler,"2301 E Yeager Dr
Ste 3
Chandler, AZ 85286",Wc4-mBb_8CTF5KoU8Fariw,33.2805741,-111.8017218,CrossFit Infernal,,True,3,5.0,AZ,business
57,Tobacco Shops; Shopping,Cave Creek,"4705 E Carefree Hwy
Ste 116
Cave Creek, AZ 85331",p4O4b0oZiV5oDhIDrCrgcg,33.7977694,-111.9798909,Churchill's Fine Cigars,,True,3,4.5,AZ,business
58,Food; Grocery,Gilbert,"855 W Warner Rd
Gilbert, AZ 85233",rksEr9GshBvBkV4vAQbruQ,33.3340421,-111.8083119,Fry's Food & Drug Stores & Fry's Marketplace,,True,4,3.5,AZ,business
59,Restaurants,Phoenix,"4267 W Thunderbird Road
Phoenix, AZ 85053",NtizlEdtnJX0tteMdZ-6tw,33.6106566,-112.1505433,Blimpie Subs & Salads,,True,3,3.0,AZ,business
60,Local Services; Discount Store; Shopping; Appliances & Repair; Office Equipment,Scottsdale,"15816 N Greenway Hayden Loop
Ste 100
Scottsdale, AZ 85260",z1CjVXv6M6RbWhZO1lIExA,33.629381,-111.913695,Lighting Unlimited,,True,3,3.5,AZ,business
61,Hotels & Travel; Event Planning & Services; Hotels,Phoenix,"2401 East Camelback Road
Phoenix, AZ 85016",HLQUH1VAw4KbSV-IhxOPEw,33.508954,-112.0293073,"The Ritz-Carlton, Phoenix",,True,49,4.0,AZ,business
62,Pubs; Bars; Nightlife; British; Restaurants,Tempe,"960 W University Dr
Tempe, AZ 85281",WNy1uzcmm_UHmTyR--o5IA,33.422728,-111.951494,Cornish Pasty Company,,True,580,4.5,AZ,business
63,Home Services; Contractors,Phoenix,"Phoenix, AZ 85034",A0-0oO2I-L4QF9BMi9duuw,33.4382789,-112.0178286,All Patio Doors & More,,True,5,5.0,AZ,business
64,Arts & Entertainment; Pizza; Arcades; Restaurants,Glendale,"6773 W Bell Road
Glendale, AZ 85308",woihBX8gAaEDL4nWtao9dg,33.6380899,-112.2051629,Chuck E Cheese,,True,7,2.0,AZ,business
65,Health & Medical; Dentists,Surprise,"15033 W Bell Road
Surprise, AZ 85374",aK8BF1xuYZVzUgi3qAn3Ug,33.6382509,-112.383586,Smiles of Beauty-Surprise,,True,4,2.0,AZ,business
66,"Videos & Video Game Rental; Books, Mags, Music & Video; Shopping",Tempe,"3141 S McClintock Dr Ste 1
Tempe, AZ 85282",jl_2Ui3vC81bIwOCCQZI1w,33.394763,-111.908919,Blockbuster Video,,True,4,2.5,AZ,business
67,Banks & Credit Unions; Financial Services; Mortgage Brokers; Home Services; Real Estate,Phoenix,"605 E Bell Road
Phoenix, AZ 85022",ejx-rekLkZ2RkNgSejf0pA,33.6402102,-112.0663313,Bank of America,,True,4,2.5,AZ,business
68,Tires; Automotive,Glendale,"6195 W Bell Road
Glendale, AZ 85308",aX2Js7hZBhBAzc8LeRs55w,33.6384243,-112.1925299,Big O Tire Stores,,True,5,4.0,AZ,business
69,Sporting Goods; Shopping,Glendale,"7360 W Bell Rd
Glendale, AZ 85308",5Rtgv0oDqmKkIayIrjEjqg,33.639331,-112.217652,Sports Authority,,True,4,4.0,AZ,business
70,Banks & Credit Unions; Financial Services,Scottsdale,"3396 N Hayden
Scottsdale, AZ 85251",Xk41spRMMo2C7Nn8YQIL0g,33.487234,-111.909447,Arizona Federal Credit Union,,True,4,2.5,AZ,business
71,Japanese; Restaurants,Phoenix,"2945 E Bell Rd
Ste 102
Phoenix, AZ 85032",0BpMvu5B9fY-KEbOuxLtFQ,33.639951900923,-112.019165147988,Kampai,,True,54,3.5,AZ,business
72,Food; Department Stores; Grocery; Fashion; Shopping,Queen Creek,"21398 S Ellsworth Rd
Queen Creek, AZ 85242",bIOEv4Gc49SiFhYedmN7aA,33.25480254189,-111.64149939723,Target,,True,4,4.0,AZ,business
73,,Scottsdale,"8009 E Dillons Way
Scottsdale, AZ 85260",Q7Yo02l--O9KMWYYNukY0w,33.6339781,-111.9067544,Dillon Precision Products,,True,4,5.0,AZ,business
74,Burgers; Restaurants,Scottsdale,"15435 N Scottsdale Rd
Ste 100
Scottsdale, AZ 85260",jqZKv-7F54guDLalXEjHxg,33.6265775,-111.9254565,Five Guys Burgers and Fries,,True,69,3.5,AZ,business
75,Bakeries; Food; Sandwiches; Restaurants,Phoenix,"2370 W Happy Valley Rd
Phoenix, AZ 85085",dzSPa5kkpQIRjMOHvDUF_Q,33.7129653,-112.1117309,Paradise Bakery & Cafe,,True,24,3.5,AZ,business
76,Department Stores; Fashion; Shopping,Scottsdale,"15464 N Frank Lloyd Wright Blvd
Scottsdale, AZ 85260",SJMjlvbGDUGO9Elpkl4kew,33.6285117246143,-111.889604330063,TJ Maxx,,True,5,2.0,AZ,business
77,Active Life; Dog Parks; Parks,Tempe,"1000 N. College Ave.
Tempe, AZ 85281",oD3K3aT52uNdLaYmGnRV8A,33.4394844,-111.9308428,Papago Dog Park,,True,8,2.5,AZ,business
78,Hair Salons; Beauty & Spas,Laveen,"5030 W Baseline Rd
Ste 133
Laveen, AZ 85339",rftGOyvbSAMOBTJWGhTLgA,33.3776437,-112.1666063,Ellaments Salon & Boutique,,True,8,4.0,AZ,business
79,American (Traditional); Fast Food; Restaurants,Scottsdale,"2870 N Hayden Rd
Scottsdale, AZ 85257",kIco4kv-FHT6QqdkDQ2cow,33.4796348,-111.9093213,Sonic Drive-In,,True,13,3.5,AZ,business
80,Shopping; Guns & Ammo,Chandler,"2156 N Alma School Rd
Ste 112
Chandler, AZ 85224",YXQzFolTvipDSpTlUTd6Eg,33.337095,-111.85953,Guns Etc,,True,9,2.5,AZ,business
81,Dive Bars; Bars; American (Traditional); Nightlife; Restaurants,Chandler,"393 W Warner Rd
Chandler, AZ 85225",2qbajPD8M7PJlWWaHSRR5Q,33.3344463,-111.8463705,Draft House On The Reef,,True,22,3.5,AZ,business
82,Landmarks & Historical Buildings; Public Services & Government,Phoenix,"1700 W Washington St
Phoenix, AZ 85007",j559p_Yelp12W2W_gTvDaA,33.447646,-112.0950937,Arizona State Capitol,,True,3,2.5,AZ,business
83,Food; Grocery,Phoenix,"3616 E Ray Rd
Phoenix, AZ 85044",tieXOBZlj01Hk_CR_sl0pg,33.316848,-112.005508,Fry's Supermarket,,True,3,3.5,AZ,business
84,Skin Care; Hair Salons; Hair Removal; Beauty & Spas,Phoenix,"1339 E Chandler Blvd
Phoenix, AZ 85048",_0Eql3UB3K5-6q4IHNBbWA,33.3052569,-112.0534109,K-Bella Salon & Spa,,True,3,4.0,AZ,business
85,Doctors; Health & Medical; Family Practice,Phoenix,"1835 W Missouri Ave
Phoenix, AZ 85015",I98ESrTemwkaVIrN_USx4A,33.516595,-112.098838,Healthy Outlook Family Medicine,,True,10,4.5,AZ,business
86,Food; Breweries,Phoenix,"334 N 25th Ave
Phoenix, AZ 85009",1XiG4o4edRcoBcIrP209yg,33.452284,-112.113567,Old World Brewery,,True,15,3.5,AZ,business
87,Burgers; Restaurants,Mesa,"2753 E Broadway
Ste 104
Mesa, AZ 85204",AoO0FJyUm01lmIJJTcPWEQ,33.4064076,-111.7716542,Giant Hamburgers,,True,47,4.0,AZ,business
88,Accountants; Professional Services,Phoenix,"13201 N 35th Ave
Ste 3B
Phoenix, AZ 85029",2k1I66IxKL9vJnRQhXWkDQ,33.597474,-112.119087,Hacker Accounting,,True,4,5.0,AZ,business
89,Food; Coffee & Tea,Scottsdale,"4513 N Scottsdale Rd
Scottsdale, AZ 85251",LNUx60j6DQAxJuikUiZNvw,33.5033716,-111.9256326,The Coffee Bean & Tea Leaf,,False,4,3.5,AZ,business
90,"Food; Wine Bars; Bars; Nightlife; Beer, Wine & Spirits",Scottsdale,"2515 N Scottsdale Rd
Scottsdale, AZ 85250",xKXahNKbBUZtOPWibwq94w,33.475302,-111.925588,AZ Wine Company,,True,19,4.0,AZ,business
91,Tires; Automotive; Auto Repair,Tempe,"1445 W Elliot Rd
Tempe, AZ 85284",1Nge1ObX93-y1AoXONt34A,33.347289,-111.961862,Costco Wholesale,,True,3,5.0,AZ,business
92,"Used, Vintage & Consignment; Fashion; Shopping",Phoenix,"8921 N 7th St
Phoenix, AZ 85020",BmElzV6FNKvt2R7rI_gfvQ,33.5667554,-112.0652303,Goodwill Industries of AZ,,True,3,3.5,AZ,business
93,Department Stores; Fashion; Shopping; Home Decor; Home & Garden; Kitchen & Bath,Mesa,"837 N Dobson Rd
Mesa, AZ 85201",9W5zaqA_fdjTk127fioY0A,33.430264,-111.873996,Bed Bath & Beyond,,True,7,4.0,AZ,business
94,Mexican; Restaurants,Phoenix,"602 E Lincoln St
Phoenix, AZ 85004",eK6KGMKqU_4nB9RdayZD7Q,33.4423368,-112.0657857,Tee Pee Tap Room,,True,17,3.0,AZ,business
95,Burgers; American (Traditional); Restaurants,Scottsdale,"20831 N Scottsdale Rd
Ste 117
Scottsdale, AZ 85255",umdxfhSlk67yGEi8-S-bEg,33.6765685033475,-111.924676895142,Cold Beers & Cheeseburgers,,True,70,3.0,AZ,business
96,Shopping; Mobile Phones,Phoenix,"2502 E Camelback Road
Phoenix, AZ 85016",aIpqc26pFPyEglBrs0k7EA,33.5102068,-112.0272041,Sprint,,True,4,3.0,AZ,business
97,Cards & Stationery; Arts & Crafts; Flowers & Gifts; Shopping; Event Planning & Services,Phoenix,"4410 N 40th St
Phoenix, AZ 85018",mG5WTamjKzje897WkCXiTA,33.5024095,-111.9955012,Paperjoy,,True,11,4.0,AZ,business
98,Auto Repair; Automotive,Tempe,"1803 E Rio Salado Pkwy
Ste 104
Tempe, AZ 85281",k_yGJN2ynaUkzLTEzBWyLA,33.428722,-111.907821,EuroTechs,,True,6,5.0,AZ,business
99,Women's Clothing; Men's Clothing; Fashion; Shopping; Shoe Stores,Mesa,"1710 S Alma School Rd
Mesa, AZ 85210",ixxKknYQAGGpCE1LhmFg3A,33.383482,-111.857962,Boot Barn,,True,4,5.0,AZ,business
100,Flowers & Gifts; Shopping; Florists,Goodyear,"13220 W Van Buren St Ste 108
Suite 108
Goodyear, AZ 85338",5hGkW5VddU07sI8DPfi-Bw,33.4502598,-112.3436915,Desert Oasis Floral,,True,4,2.5,AZ,business
101,Flowers & Gifts; Shopping; Florists,Phoenix,"550 W McDowell Rd
Phoenix, AZ 85003",imSAkSzL5X1rUc3Z1ZMYeA,33.4659933,-112.0822105,Community Florist,,True,6,4.5,AZ,business
102,Hot Dogs; Restaurants,Phoenix,"Sky Harbor Airport - Terminal 4
3400 Sky Harbor Blvd
Phoenix, AZ 85034",YowLDN2YEKVJpHv0Loqm5A,33.4382789,-112.0178286,Jody Maroni's Sausage Kingdom,,True,18,2.5,AZ,business
103,Shopping; Baby Gear & Furniture,Mesa,"1235 S Gilbert Rd
Ste 8
Mesa, AZ 85204",l7WFICL6sLarCOHc0YFODQ,33.392567,-111.787043,Baby Mother & More,,True,4,5.0,AZ,business
104,Breakfast & Brunch; Diners; Restaurants,Phoenix,"501 W Thomas Rd
Phoenix, AZ 85013",HQFscafV3wi5z4yOKdUGRg,33.480016,-112.080631,5th Avenue Cafe,,True,58,3.5,AZ,business
105,Pets; Pet Stores,Cave Creek,"29455 N Cave Creek Rd
Ste 108
Cave Creek, AZ 85331",JW1M3UOIopAA4C2y0Xt0wQ,33.751685,-111.991308,Bonnie's Barkery,,True,6,4.0,AZ,business
106,Health & Medical; Dentists; General Dentistry,Gilbert,"1757 E Baseline Rd
Ste 129
Gilbert, AZ 85233",46Pklsv4V2dku7yY5rvhIw,33.37854,-111.793383,"David T Madder, DMD",,True,11,4.5,AZ,business
107,Mexican; Restaurants,Phoenix,"401 W Clarendon Ave
Phoenix, AZ 85013",-sC66z4SO3tR7nFCjfQwuQ,33.49112,-112.079081,Gallo Blanco Cafe,,True,549,4.0,AZ,business
108,American (Traditional); Restaurants,Phoenix,"6607 S Central Ave
Phoenix, AZ 85042",hBodj_f6adUAnEVUb_he_A,33.386417,-112.073079,Turk's Fish and Chips,,True,4,2.5,AZ,business
109,Veterinarians; Pets,Surprise,"13764 W. Bell Road
Surprise, AZ 85374",fc7HNDbFpDlDWCGMh-c8lw,33.640184,-112.354279,Banfield Pet Hospital,,True,6,2.0,AZ,business
110,Buffets; Restaurants,Mesa,"1457 W Southern Ave
Mesa, AZ 85202",1J1iid_qU__8_CxiS2Zw4Q,33.3925142,-111.862526,Souper Salad,,False,5,3.0,AZ,business
111,Barbers; Beauty & Spas,Phoenix,"2637 W Bethany Home Rd
Phoenix, AZ 85073",Si4xIYKj7cbBou6Vkk0JJg,33.5239202,-112.1163693,Danny's Barber Shop,,True,4,3.5,AZ,business
112,Hair Salons; Beauty & Spas,Phoenix,"625 W Deer Valley Rd
Ste 105
Phoenix, AZ 85027",OiQd6wkxOFx9k_EmRaJYTA,33.6835998,-112.0823333,Au Reve,,True,8,4.5,AZ,business
113,Sandwiches; Restaurants,Tempe,"1342 W Warner Rd
Tempe, AZ 85281",6ZYt8IChJmH3Ra5IqnlivA,33.3345479,-111.9619158,Port of Subs,,True,9,2.5,AZ,business
114,Local Services; Shipping Centers; Printing Services,Phoenix,"4940 E Ray Rd
Phoenix, AZ 85044",bFm1ZmXPg0CVsc97sej_tQ,33.3212765,-111.9777098,FedEx Office Print & Ship Center,,True,6,3.0,AZ,business
115,Sushi Bars; Restaurants,Tempe,"5136 S Rural Rd
Tempe, AZ 85282",y8a480EiwWikqlR1inkGxg,33.3792532,-111.9285013,Sushi Time,,True,28,3.5,AZ,business
116,Auto Repair; Automotive; Tires,Phoenix,"2623 E McDowell Rd
Phoenix, AZ 85008",JuQncODLNOhfSaa-5okpQQ,33.465427,-112.024916,Jack's Automotive Service,,True,3,4.5,AZ,business
117,American (Traditional); Restaurants,Mesa,"1911 W Broadway Rd
Ste 1
Mesa, AZ 85202",qgVS6sBe7JNEI8otg0Y3dg,33.407138,-111.872612,Ub's Restaurant & Bar,,True,4,3.5,AZ,business
118,Food; Coffee & Tea,Scottsdale,"15029 N Thompson Peak Pkwy
Ste B111
Scottsdale, AZ 85260",2jCyo55dFgGzYpoIX8TwgA,33.6226416,-111.8741292,Starbucks Coffee,,True,13,4.0,AZ,business
119,Tex-Mex; Restaurants,Tempe,"20 W 6th St
Tempe, AZ 85281",hyff2JyqQgf85MaJZslHCg,33.4245625,-111.9409053,Z'Tejas Southwestern Grill,,True,108,3.5,AZ,business
120,Pubs; Bars; Sports Bars; Nightlife,Scottsdale,"7318 E Stetson Dr
Scottsdale, AZ 85251",3g2ofV7mhEoPyfF7vFMObA,33.499735,-111.9235067,Mulligan's,,False,32,3.0,AZ,business
121,Pet Services; Veterinarians; Pets,Phoenix,"950 W Hatcher Rd
Phoenix, AZ 85021",pXE8u5EBP_v1HbPnr0U6xQ,33.5712656,-112.0866535,Altered Tails,,True,7,4.0,AZ,business
